Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
15486,박명근,2004년 03월 27일,우언우타,구리-구리인창중-라온고,23 LG 3라운드 27순위,2025,LG,21,P,44,0,44,13,0,0,3,4,4,10,38.2,21,21,18.05,168,36,5,1,5,16,5,2,30,0,1,0,4.89,4.89,4.2,5.09,1.34,0.62
15496,이호성,2004년 08월 14일,우투우타,부천소사-동인천중-인천고,23 삼성 1라운드 8순위,2025,삼성,21,P,58,0,58,24,0,0,7,4,9,3,55.1,39,44,37.3,252,54,7,2,7,29,2,0,69,6,1,0,6.34,7.16,6.07,4.1,1.5,-0.03
15508,최준호,2004년 06월 03일,우투우타,온양온천초-온양중-북일고,23 두산 1라운드 9순위,2025,두산,21,P,9,3,6,2,0,0,1,2,0,0,16,15,15,14.15,74,18,5,0,4,9,2,0,11,0,0,2,8.44,8.44,7.96,7.37,1.69,-0.13
15509,김유성,2002년 01월 01일,우투우타,김해삼성초-김해내동중-김해고-고려대,23 두산 2라운드 19순위,2025,두산,23,P,7,4,3,1,0,0,0,2,0,0,17.1,17,17,15.6,85,17,2,0,3,14,4,0,22,0,0,1,8.83,8.83,8.1,6.13,1.79,-0.14
15527,강건,2004년 07월 12일,우투우타,수원영통-매향중-장안고,23 KT 11라운드 110순위,2025,KT,21,P,2,1,1,1,0,0,0,1,0,0,3.2,10,10,10.5,26,7,2,0,1,7,1,0,1,0,0,0,24.55,24.55,25.77,13.46,3.82,-0.39
15531,후라도,1996년 01월 30일,우투우타,-,23 키움 자유선발,2025,삼성,29,P,30,30,0,3,3,2,15,8,0,0,197.1,57,65,64.5,786,177,17,3,17,36,4,0,142,5,0,3,2.6,2.96,2.94,3.79,1.08,7.57
15861,레예스,1996년 11월 02일,우투우타,-,24 삼성 자유선발,2025,삼성,29,P,10,10,0,0,0,0,4,3,0,0,50,23,26,24.8,215,51,7,1,5,12,3,0,35,1,0,0,4.14,4.68,4.46,4.32,1.26,1.06
15864,육선엽,2005년 07월 13일,우투우타,백마초-신월중-장충고,24 삼성 1라운드 4순위,2025,삼성,20,P,27,1,26,8,0,0,0,1,0,1,28.2,17,21,19.45,133,23,3,0,4,24,0,0,19,5,0,2,5.34,6.59,6.11,6.6,1.64,0
15866,정민성,2005년 05월 09일,우투우타,중앙초-군산중-군산상고,24 삼성 4라운드 34순위,2025,삼성,20,P,1,1,0,0,0,0,0,1,0,0,1,4,4,4,7,3,2,1,0,0,2,0,0,0,0,1,36,36,36,10.32,3,-0.17
15882,김대호,2001년 10월 15일,우투우타,제주신광초-이평중-군산상고-고려대,24 삼성 육성선수,2025,삼성,24,P,11,4,7,5,0,0,0,1,0,0,21,12,13,13,105,25,6,0,3,15,1,0,19,2,0,1,5.14,5.57,5.57,5.79,1.9,0.2
16027,원상현,2004년 10월 16일,우투우타,부산진구-개성중-부산고,24 KT 1라운드 7순위,2025,KT,21,P,52,0,52,5,0,0,0,3,0,14,57,33,35,34.6,259,56,10,0,8,35,1,3,45,1,0,4,5.21,5.53,5.46,5.52,1.6,0.19
16040,박기호,2005년 07월 26일,우투우타,청주-현도중-청주고,24 SSG 3라운드 30순위,2025,SSG,20,P,18,1,17,6,0,0,0,0,0,2,24,8,10,12.2,110,23,2,0,3,12,8,1,13,1,0,2,3,3.75,4.58,6.59,1.46,0.32
16041,최현석,2003년 10월 16일,우투우타,서흥초-동산중-동산고-부산과학기술대,24 SSG 4라운드 40순위,2025,SSG,22,P,13,0,13,8,0,0,0,0,0,0,17.1,12,13,12.15,77,21,2,0,5,6,2,0,11,0,0,1,6.23,6.75,6.31,7.24,1.56,0.02
16049,김민규,2001년 09월 07일,우투우타,광주서석초-진흥중-광주동성고-경성대,24 NC 육성선수,2025,NC,24,P,7,0,7,1,0,0,0,0,0,1,4.2,4,4,3.9,23,5,2,0,0,4,0,1,2,0,0,0,7.71,7.71,7.52,4.9,1.93,-0.07
16053,임상현,2005년 07월 16일,우투우타,김천시-구미중-상원고,24 NC 2라운드 15순위,2025,NC,20,P,1,0,1,0,0,0,0,0,0,0,1,2,2,1.65,8,2,1,0,0,3,0,0,0,0,0,0,18,18,14.85,13.52,5,-0.05
16056,최우석,2005년 03월 31일,우투우타,서흥초-동인천중-비봉고,24 NC 5라운드 45순위,2025,NC,20,P,12,0,12,4,0,0,0,0,0,0,14.1,13,16,17.9,75,23,5,0,1,9,0,0,15,1,0,5,8.16,10.05,11.24,4.14,2.23,-0.34
16057,손주환,2002년 01월 05일,우투우타,신정중-물금고-동아대,24 NC 6라운드 55순위,2025,NC,23,P,52,0,52,7,0,0,6,1,0,7,51.2,25,29,27.75,224,53,5,0,5,19,1,0,37,3,0,0,4.35,5.05,4.83,4.52,1.39,0.67
16067,김택연,2005년 06월 03일,우투우타,동막초-상인천중-인천고,24 두산 1라운드 2순위,2025,두산,20,P,64,0,64,43,0,0,4,5,24,0,66.1,26,31,29.8,281,47,6,0,6,31,5,2,79,3,0,5,3.53,4.21,4.04,3.71,1.18,1.32
16082,김민주,2002년 09월 08일,우투우타,성동구-건대부중-배명고-강릉영동대,24 KIA 7라운드 66순위,2025,KIA,23,P,3,0,3,0,0,0,0,0,0,0,3,4,4,3.85,17,4,1,1,0,2,2,0,2,0,0,0,12,12,11.55,6.52,2,-0.14
16083,김민재,2003년 07월 08일,우투우타,효제초-청량중-신일고-동원과학기술대,24 KIA 8라운드 76순위,2025,KIA,22,P,1,0,1,1,0,0,0,0,0,0,2,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2.67,1,0.07
16085,성영탁,2004년 07월 28일,우투우타,부산서구-개성중-부산고,24 KIA 10라운드 96순위,2025,KIA,21,P,45,0,45,5,0,0,3,2,0,7,52.1,9,11,13.9,198,38,6,0,2,13,0,0,30,4,0,1,1.55,1.89,2.39,3.74,0.97,1.99
16088,네일,1993년 02월 08일,우투우타,-,24 KIA 자유선발,2025,KIA,32,P,27,27,0,0,0,0,8,4,0,0,164.1,41,46,45.3,664,135,18,1,6,41,15,0,152,9,0,4,2.25,2.52,2.48,3.13,1.07,6.59
16090,정현수,2001년 05월 10일,좌투좌타,대연초-부산중-부산고-송원대,24 롯데 2라운드 13순위,2025,롯데,24,P,82,0,82,9,0,0,2,0,0,12,47.2,21,23,20.65,203,34,9,0,4,26,2,0,47,4,0,2,3.97,4.34,3.9,4.33,1.26,1.03
16092,박준우,2005년 05월 27일,우투우타,부천시-부천중-유신고,24 롯데 4라운드 33순위,2025,롯데,20,P,11,1,10,1,0,0,1,2,0,1,12.1,11,11,11.65,64,21,3,1,0,6,1,0,11,0,0,0,8.03,8.03,8.5,3.51,2.19,-0.21
16107,황준서,2005년 08월 22일,좌투좌타,중랑구-상명중-장충고,24 한화 1라운드 1순위,2025,한화,20,P,23,12,11,1,0,0,2,8,0,0,56,33,37,34.75,242,54,11,4,7,26,2,2,57,1,0,1,5.3,5.95,5.58,4.46,1.43,0.41
16108,조동욱,2004년 11월 02일,좌투좌타,소래초-영남중-장충고,24 한화 2라운드 11순위,2025,한화,21,P,68,2,66,12,0,0,3,3,2,5,60,27,29,25.45,283,77,16,0,4,29,4,3,43,4,1,7,4.05,4.35,3.82,4.63,1.77,1.31
16114,원종혁,2005년 08월 27일,우투우타,도곡초-휘문중-구리인창고,24 한화 9라운드 81순위,2025,한화,20,P,2,0,2,1,0,0,0,0,0,0,1.2,3,3,3.5,10,3,0,0,1,2,0,0,1,0,0,0,16.2,16.2,18.9,6.26,3,-0.1
16122,전준표,2005년 05월 07일,우투우타,강동구-잠신중-서울고,24 키움 1라운드 8순위,2025,키움,20,P,21,1,20,4,0,0,2,2,0,1,20.1,20,22,24.05,114,33,8,0,2,19,3,3,15,1,0,3,8.85,9.74,10.65,6.55,2.56,-1.18
16123,김윤하,2005년 03월 07일,우투우타,남양주-덕수중-장충고,24 키움 1라운드 9순위,2025,키움,20,P,19,18,1,0,0,0,0,12,0,0,88,60,76,68.95,422,113,18,2,16,44,3,1,52,8,0,2,6.14,7.77,7.05,6.31,1.78,-0.84
16125,손현기,2005년 10월 22일,좌투좌타,순천북초-순천이수중-전주고,24 키움 2라운드 19순위,2025,키움,20,P,2,0,2,0,0,0,0,0,0,0,3,5,5,5.35,18,4,1,0,1,6,1,0,1,0,0,1,15,15,16.05,14.52,3.33,-0.3
16127,김연주,2004년 02월 27일,우투우타,대전신흥초-충남중-세광고,24 키움 3라운드 29순위,2025,키움,21,P,20,8,12,1,0,0,1,3,0,0,51.2,38,40,42.1,250,67,14,2,10,25,6,2,28,4,0,0,6.62,6.97,7.33,6.73,1.78,-0.52
16138,헤이수스,1996년 12월 10일,좌투좌타,-,24 키움 자유선발,2025,KT,29,P,32,30,2,0,0,0,9,9,0,1,163.2,72,85,82.25,712,173,22,2,17,44,8,0,165,10,2,7,3.96,4.67,4.52,3.65,1.33,2.47
16146,앤더슨,1994년 03월 22일,우투우타,-,24 SSG 자유선발,2025,SSG,31,P,30,30,0,0,0,0,12,7,0,0,171.2,43,53,51.1,694,121,17,1,13,51,9,1,245,6,0,10,2.25,2.78,2.68,2.37,1,6.54
16153,와이스,1996년 12월 10일,우투우타,-,24 한화 부상 대체 외국인선수,2025,한화,29,P,30,30,0,0,0,0,16,5,0,0,178.2,57,63,62.3,725,127,30,1,13,56,13,0,207,7,2,5,2.87,3.17,3.14,3.12,1.02,5.95
16160,에르난데스,1995년 05월 03일,우투우타,-,24 LG 자유선발,2025,LG,30,P,14,14,0,0,0,0,4,4,0,0,66,31,32,31,276,53,14,0,7,24,5,0,73,0,0,3,4.23,4.36,4.23,3.82,1.17,1.28
16239,배찬승,2006년 01월 01일,좌투좌타,옥산초-경복중-대구고,25 삼성 1라운드 3순위,2025,삼성,19,P,65,0,65,5,0,0,2,3,0,19,50.2,22,25,28.8,233,50,11,0,3,34,2,1,57,3,0,5,3.91,4.44,5.12,4.02,1.66,0.59
16250,김태형,2006년 12월 15일,우투우타,화순초-화순중-덕수고,25 KIA 1라운드 5순위,2025,KIA,19,P,8,3,5,1,0,0,0,3,0,0,23.2,12,12,13.05,107,25,4,0,4,7,5,0,14,1,1,1,4.56,4.56,4.96,6.07,1.35,0.33
16251,이호민,2006년 08월 26일,우투우타,해남-이평중-전주고,25 KIA 2라운드 15순위,2025,KIA,19,P,13,0,13,6,0,0,1,0,0,0,14.2,14,14,17.8,72,21,5,0,0,9,2,1,7,0,0,0,8.59,8.59,10.92,4.91,2.05,-0.67
16254,김정엽,2006년 04월 18일,우투우타,수영초-개성중-부산고,25 KIA 5라운드 45순위,2025,KIA,19,P,2,0,2,1,0,0,0,0,0,0,1,2,2,0.8,5,0,0,0,0,1,1,0,0,0,0,0,18,18,7.2,10.32,1,-0.01
16259,이성원,2006년 05월 18일,우투우타,화성-안산중앙중-유신고,25 KIA 10라운드 95순위,2025,KIA,19,P,4,0,4,2,0,0,0,0,0,0,2.2,5,7,5.45,19,3,1,0,0,4,3,0,3,1,0,0,16.88,23.63,18.39,9.51,2.63,-0.18
16261,올러,1994년 10월 17일,우투우타,-,25 KIA 자유선발,2025,KIA,31,P,26,26,0,1,1,0,11,7,0,0,149,60,64,62.8,620,125,25,3,8,47,8,0,169,6,0,2,3.62,3.87,3.79,2.9,1.15,3.61
16263,김태현,2005년 11월 16일,좌투좌타,광주서림초-진흥중-광주제일고,25 롯데 1라운드 4순위,2025,롯데,20,P,1,0,1,0,0,0,0,0,0,0,2,1,2,2,12,1,0,0,0,4,0,0,2,1,0,0,4.5,9,9,7.82,2.5,-0.02
16264,박세현,2006년 01월 21일,우투우타,중랑구-상명중-배명고,25 롯데 2라운드 14순위,2025,롯데,19,P,3,0,3,3,0,0,0,0,0,0,3.2,6,6,6.7,21,8,5,0,1,1,1,0,4,0,0,0,14.73,14.73,16.45,6.18,2.45,-0.35
16268,이영재,2006년 10월 20일,좌투좌타,의정부-신흥중-신흥고,25 롯데 7라운드 64순위,2025,롯데,19,P,3,0,3,2,0,0,0,0,0,0,2,2,2,2,11,5,1,0,1,0,1,0,2,0,0,0,9,9,9,8.97,2.5,-0.02
16273,데이비슨,1996년 03월 25일,좌투좌타,-,25 롯데 자유선발,2025,롯데,29,P,22,22,0,0,0,0,10,5,0,0,123.1,50,53,51.8,529,123,20,2,10,48,5,0,119,2,1,4,3.65,3.87,3.78,3.85,1.39,3.38
